Date,Close,Open,High,Low,Volume,% Thay đổi
2024-07-29,585000.0,598300.0,598300.0,540600.0,540.0,5.41%
2024-07-30,579000.0,579000.0,579000.0,579000.0,230.0,-1.03%
2024-07-31,545000.0,589100.0,591000.0,540000.0,530.0,-5.87%
2024-08-01,550000.0,550000.0,550000.0,540000.0,1160.0,0.92%
2024-08-02,538600.0,545000.0,550000.0,537000.0,1620.0,-2.07%
2024-08-05,518000.0,538500.0,544900.0,518000.0,5620.0,-3.82%
2024-08-06,520000.0,532100.0,532100.0,520000.0,1270.0,0.39%
2024-08-07,512000.0,525000.0,525000.0,512000.0,2160.0,-1.54%
2024-08-09,520000.0,515500.0,520000.0,515500.0,310.0,1.56%
2024-08-12,520000.0,517000.0,520000.0,515000.0,720.0,0.00%
2024-08-14,512000.0,512100.0,512100.0,512000.0,560.0,-1.54%
2024-08-15,510000.0,507000.0,510000.0,506000.0,680.0,-0.39%
2024-08-16,530000.0,512000.0,530000.0,510000.0,900.0,3.92%
2024-08-19,527000.0,527000.0,527000.0,527000.0,300.0,-0.57%
2024-08-20,520000.0,520000.0,520000.0,520000.0,410.0,-1.33%
2024-08-21,525000.0,523000.0,525000.0,523000.0,350.0,0.96%
2024-08-22,521000.0,520000.0,521000.0,520000.0,420.0,-0.76%
2024-08-26,520000.0,520000.0,520000.0,520000.0,110.0,-0.19%
2024-08-27,520000.0,520000.0,520000.0,520000.0,100.0,0.00%
2024-08-28,525000.0,518000.0,525000.0,518000.0,1330.0,0.96%
2024-08-29,532000.0,520000.0,532000.0,520000.0,800.0,1.33%
